Email_ID,type,Trace_ID,Action,Date
100,email,30,issue comment,2017-04-18 08:57:41 UTC
101,email,30,issue update,2017-04-18 08:59:41 UTC
104,email,30,issue comment,2017-04-18 09:00:50 UTC
102,email,31,create issue,2017-04-18 08:59:41 UTC
106,email,31,commit changes,2017-04-18 09:25:03 UTC
107,email,31,resolve issue,2017-04-18 09:25:41 UTC
103,email,32,commit changes,2017-04-18 09:00:40 UTC
105,email,33,commit changes,2017-04-18 09:08:19 UTC
110,email,34,create issue,2017-04-18 10:18:42 UTC
114,email,34,commit changes,2017-04-18 11:09:43 UTC
126,email,34,work started issue,2017-04-18 11:58:41 UTC
138,email,34,resolve issue,2017-04-18 12:40:41 UTC
113,email,35,commit changes,2017-04-18 11:08:29 UTC
124,email,35,commit changes,2017-04-18 11:38:19 UTC
115,email,36,open pull request,2017-04-18 11:10:54 UTC
117,email,36,commit changes,2017-04-18 11:21:09 UTC
118,email,36,commit changes,2017-04-18 11:21:10 UTC
125,email,36,close pull request,2017-04-18 11:42:51 UTC
129,email,37,open pull request,2017-04-18 12:14:39 UTC
132,email,37,commit changes,2017-04-18 12:26:07 UTC
133,email,37,close pull request,2017-04-18 12:26:22 UTC
116,email,38,commit changes,2017-04-18 11:17:25 UTC
130,email,39,create issue,2017-04-18 12:14:41 UTC
134,email,40,commit changes,2017-04-18 12:27:16 UTC
135,email,40,commit changes,2017-04-18 12:27:17 UTC
137,email,41,commit changes,2017-04-18 12:35:02 UTC
144,email,41,commit changes,2017-04-18 14:04:53 UTC
145,email,41,commit changes,2017-04-18 14:04:54 UTC
152,email,41,close pull request,2017-04-18 15:05:28 UTC
153,email,41,automated comment issue,2017-04-18 15:05:41 UTC
227,email,41,commit changes,2017-04-19 11:04:44 UTC
139,email,42,ask a question,2017-04-18 12:53:34 UTC
154,email,42,ask a question,2017-04-18 15:20:06 UTC
140,email,43,create issue,2017-04-18 13:15:41 UTC
141,email,43,commit changes,2017-04-18 13:17:12 UTC
142,email,43,resolve issue,2017-04-18 13:17:41 UTC
201,email,43,reopen issue,2017-04-19 08:39:41 UTC
204,email,43,commit changes,2017-04-19 08:48:23 UTC
205,email,43,resolve issue,2017-04-19 08:49:41 UTC
143,email,44,ask a question,2017-04-18 13:47:39 UTC
146,email,44,provide support,2017-04-18 14:05:59 UTC
155,email,44,close question,2017-04-18 15:37:49 UTC
166,email,44,provide support,2017-04-19 07:07:12 UTC
147,email,45,create issue,2017-04-18 14:19:41 UTC
217,email,45,commit changes,2017-04-19 09:45:35 UTC
218,email,45,resolve issue,2017-04-19 09:46:41 UTC
148,email,46,create issue,2017-04-18 14:22:41 UTC
149,email,46,commit changes,2017-04-18 14:40:02 UTC
150,email,46,resolve issue,2017-04-18 14:40:41 UTC
163,email,46,issue comment,2017-04-19 07:05:41 UTC
164,email,46,reopen issue,2017-04-19 07:06:41 UTC
165,email,46,issue comment,2017-04-19 07:06:41 UTC
187,email,46,commit changes,2017-04-19 08:35:46 UTC
188,email,46,commit changes,2017-04-19 08:35:47 UTC
189,email,46,commit changes,2017-04-19 08:35:48 UTC
190,email,46,commit changes,2017-04-19 08:35:49 UTC
191,email,46,commit changes,2017-04-19 08:35:50 UTC
192,email,46,commit changes,2017-04-19 08:35:51 UTC
193,email,46,commit changes,2017-04-19 08:35:52 UTC
194,email,46,commit changes,2017-04-19 08:35:53 UTC
195,email,46,commit changes,2017-04-19 08:35:54 UTC
196,email,46,commit changes,2017-04-19 08:35:55 UTC
197,email,46,commit changes,2017-04-19 08:35:56 UTC
198,email,46,commit changes,2017-04-19 08:35:57 UTC
200,email,46,resolve issue,2017-04-19 08:38:41 UTC
211,email,46,commit changes,2017-04-19 09:14:38 UTC
151,email,47,commit changes,2017-04-18 14:53:26 UTC
157,email,48,issue comment,2017-04-18 21:13:41 UTC
158,email,48,issue comment,2017-04-18 21:15:42 UTC
159,email,48,issue comment,2017-04-18 21:18:41 UTC
182,email,48,commit changes,2017-04-19 08:05:09 UTC
183,email,48,commit changes,2017-04-19 08:08:27 UTC
184,email,48,issue comment,2017-04-19 08:10:41 UTC
185,email,48,commit changes,2017-04-19 08:10:44 UTC
161,email,49,ask a question,2017-04-19 05:10:16 UTC
230,email,49,assign issue,2017-04-19 11:37:41 UTC
231,email,49,open pull request,2017-04-19 11:38:12 UTC
232,email,49,automated comment issue,2017-04-19 11:38:41 UTC
173,email,50,create issue,2017-04-19 07:47:41 UTC
175,email,50,assign issue,2017-04-19 07:56:41 UTC
178,email,50,issue comment,2017-04-19 08:01:41 UTC
220,email,50,open pull request,2017-04-19 10:33:12 UTC
221,email,50,automated comment issue,2017-04-19 10:33:41 UTC
222,email,50,commit changes,2017-04-19 10:52:10 UTC
223,email,50,close pull request,2017-04-19 10:52:29 UTC
224,email,50,automated comment issue,2017-04-19 10:52:41 UTC
225,email,50,resolve issue,2017-04-19 11:00:47 UTC
226,email,50,assign issue,2017-04-19 11:00:47 UTC
186,email,51,build system update,2017-04-19 08:31:14 UTC
179,email,52,commit changes,2017-04-19 08:02:24 UTC
180,email,52,close pull request,2017-04-19 08:02:44 UTC
181,email,52,automated comment issue,2017-04-19 08:03:41 UTC
199,email,53,commit changes,2017-04-19 08:35:58 UTC
210,email,53,commit changes,2017-04-19 09:14:37 UTC
202,email,54,ask a question,2017-04-19 08:42:49 UTC
207,email,54,provide support,2017-04-19 09:05:02 UTC
243,email,54,close question,2017-04-19 12:30:24 UTC
203,email,55,commit changes,2017-04-19 08:44:54 UTC
206,email,56,build system update,2017-04-19 08:51:49 UTC
208,email,57,create issue,2017-04-19 09:08:41 UTC
212,email,57,commit changes,2017-04-19 09:15:57 UTC
213,email,57,resolve issue,2017-04-19 09:16:41 UTC
219,email,58,assign issue,2017-04-19 10:18:41 UTC
228,email,59,issue update,2017-04-19 11:11:41 UTC
229,email,60,create issue,2017-04-19 11:14:41 UTC
235,email,61,commit changes,2017-04-19 11:53:09 UTC
236,email,61,commit changes,2017-04-19 11:53:10 UTC
237,email,62,commit changes,2017-04-19 11:57:57 UTC
240,email,62,commit changes,2017-04-19 12:26:53 UTC
238,email,63,open pull request,2017-04-19 12:21:29 UTC
245,email,63,commit changes,2017-04-19 12:31:03 UTC
246,email,63,close pull request,2017-04-19 12:31:17 UTC
241,email,64,ask a question,2017-04-19 12:27:35 UTC
242,email,64,ask a question,2017-04-19 12:29:00 UTC
244,email,64,update question,2017-04-19 12:30:59 UTC
247,email,64,provide support,2017-04-19 12:35:40 UTC
248,email,64,ask a question,2017-04-19 13:08:24 UTC
249,email,64,ask a question,2017-04-19 13:27:36 UTC
250,email,65,publicity,2017-04-19 13:27:37 UTC
